id,milestone,wave,status,execution_mode,package,path,title,type,owner,executor,estimate,depends_on,labels,prototype_basis,summary,acceptance
M0-01,M0 Foundation,foundation,done,bootstrap,repo-root,/,Initialize polyglot monorepo tooling (pnpm + uv + just + pre-commit),chore,DevEx,Engineering,M,,"infra,monorepo,devex","Canonical monorepo root, toolchain entrypoints, lockfiles, and just bootstrap/test/lint scaffolding now exist at the repo root.","Completed: the canonical monorepo root, workspace layout, and bootstrap/lint/test entrypoints are in place.","Root contains apps/, services/, packages/, integrations/, examples/, tests/; `just bootstrap`, `just test`, `just lint` succeed on a clean machine."
M0-02,M0 Foundation,foundation,done,absorb,repo-root,/.github / docs/,"Set repository governance: CODEOWNERS, labels, milestones, issue templates, PR template",chore,Tech Lead,Tech Lead+Engineering,S,M0-01,"governance,github,docs","Labels, milestones, issue-seeding automation, CODEOWNERS, issue templates, PR template, and GitHub governance docs now exist in the canonical root.","Completed: repository governance assets now exist on top of the existing label, milestone, and issue-seeding automation.",GitHub templates exist; CODEOWNERS routes contracts to policy owner and proof backend to Isabelle owner; backlog labels/milestones documented.
M0-03,M0 Foundation,foundation,done,normalize,packages/contracts,packages/contracts,Import canonical JSON Schemas and freeze schema version policy,feat,Contracts,Tech Lead+Architecture,S,M0-01,"contracts,schema,policy",Prototype schema copies already exist under `formal-claim-pipeline/formal_claim_pipeline/schemas/`.,"Completed: canonical schemas now live only in `packages/contracts/`, the donor copies are gone, and the package README fixes versioning, migration, and deprecation policy.",Schemas live only in packages/contracts; README defines semver policy; duplicate copies are removed from service packages.
M0-04,M0 Foundation,foundation,done,implement,packages/contracts-py + contracts-ts,"packages/contracts-py, packages/contracts-ts",Generate Python and TypeScript bindings from canonical schemas,feat,Contracts,Engineering,M,M0-03,"contracts,codegen,python,typescript",,"Completed: generated Python and TypeScript bindings now build from the canonical schemas, and donor models consume the canonical generated layer instead of a hand-written mirror.",`packages/contracts-py` and `packages/contracts-ts` build successfully; generated types round-trip valid fixtures; no hand-written duplicate model layer remains.
M0-05,M0 Foundation,foundation,done,implement,tests/schema + examples,"tests/schema, examples/",Add golden fixtures and schema conformance tests,test,QA,Engineering,S,M0-04,"tests,schema,fixtures",,"Completed: theorem-audit golden fixtures, invalid fixtures, and legacy migration samples now live under the canonical root and are enforced by schema conformance checks.",Schema tests pass in CI; fixtures include at least one valid and one invalid file per schema; failing fixture diffs are readable.
M1-01,M1 Migration,migration,done,extract,services/engine,services/engine,Extract `formal_claim_pipeline` into `services/engine` package skeleton,refactor,Backend,Engineering,M,M0-04,"migration,engine,python",The donor `formal_claim_pipeline` package already exists under `formal-claim-pipeline/formal_claim_pipeline/`.,Completed: `formal_claim_engine` now owns the extracted pipeline package, the legacy `formal_claim_pipeline` package is a compatibility front door, and root checks compile/import/build both surfaces.,Engine package imports without referencing legacy top-level package names; old package either becomes thin compatibility shim or is removed.
M1-02,M1 Migration,migration,done,extract,services/isabelle-runner,services/isabelle-runner,Extract `isabelle_wrapper.py` into deterministic Isabelle runner service,refactor,Proof,Engineering,M,M1-01,"migration,isabelle,backend",The heuristic donor wrapper already exists at `formal-claim-pipeline/formal_claim_pipeline/isabelle_wrapper.py`.,Completed: canonical `services/isabelle-runner` now owns the runner config, models, CLI, and write/build helpers, while engine consumes it only through the typed compatibility shim.,"Runner has its own package, CLI entrypoint, config, and JSON response models; engine depends on it via typed interface only."
M1-03,M1 Migration,migration,done,absorb,services/mcp-server,services/mcp-server,Replace standalone `claim_tracer_mcp` internals with thin MCP facade over canonical engine,refactor,Platform,Engineering,M,M1-01 M0-04,"migration,mcp,claim-tracer",The donor MCP surface already exists under `claim-tracer-dist/claim_tracer_mcp/`.,Completed: `services/mcp-server` now provides the canonical thin MCP facade, and donor `claim_tracer_mcp` modules forward into engine-owned claim tracing adapters instead of carrying their own store/model logic.,MCP tools no longer import legacy `claim_tracer_mcp.models` or `store`; all tool I/O uses canonical contracts or explicit adapter DTOs.
M1-04,M1 Migration,migration,done,replace,services/engine + tests/integration,"services/engine, tests/integration",Add migration adapters for legacy file-backed artifacts into canonical store,feat,Backend,Engineering,S,M1-01 M0-05,"migration,artifacts,storage",,Completed: engine now exposes legacy artifact import helpers and CLI support, and integration smoke covers importing both donor store-layout JSON and donor example JSON into the canonical store.,A CLI or script imports legacy claim graphs and profiles into the new store; import report lists upgraded IDs and validation results.
M2-01,M2 Core Domain,core-runner-base,done,implement,packages/graph-model,packages/graph-model,"Implement canonical graph query library for claims, relations, and assurance links",feat,Backend,Engineering,M,M0-04,"graph,domain,library",,Completed: `packages/graph-model` now provides typed claim and assurance graph traversal, slicing, closure, hotspot, impact, projection, and diff queries over canonical contract models.,Library exposes forward/backward slice, dependency closure, leaf/root queries, and diffable projections with unit tests.
